Timestamp,CPU Usage (%),Memory Usage (%),Disk Usage (%),Bytes Sent,Bytes Received
2024-11-29 21:18:47.508000,0.0,44.5,19.5,47738550,4555405153
2024-11-29 21:18:48.517000,0.0,44.5,19.5,47738550,4555405498
2024-11-29 21:18:49.522000,0.0,44.4,19.5,47738550,4555405863
2024-11-29 21:18:50.528000,0.0,44.5,19.5,47738550,4555406173
2024-11-29 21:18:51.534000,0.0,44.5,19.5,47738550,4555408307
2024-11-29 21:18:52.539000,0.0,44.5,19.5,47738550,4555409404
2024-11-29 21:18:53.545000,0.0,44.4,19.5,47738550,4555409593
2024-11-29 21:18:54.550000,0.0,44.5,19.5,47738550,4555416051
2024-11-29 21:18:55.556000,0.0,44.5,19.5,47738550,4555416430
2024-11-29 21:18:56.562000,0.0,44.4,19.5,47738550,4555419668
2024-11-29 21:18:57.567000,0.0,44.5,19.5,47738550,4555422490
2024-11-29 21:18:58.573000,0.0,44.4,19.5,47738550,4555422696
2024-11-29 21:18:59.578000,0.0,44.4,19.5,47738550,4555425998
2024-11-29 21:19:00.583000,1.6,44.4,19.5,47746664,4555441057
2024-11-29 21:19:01.589000,0.0,44.4,19.5,47747096,4555444349
2024-11-29 21:19:02.595000,0.0,44.4,19.5,47747212,4555444876
2024-11-29 21:19:03.600000,0.0,44.4,19.5,47747266,4555445218
2024-11-29 21:19:04.605000,0.0,44.4,19.5,47747266,4555445299
2024-11-29 21:19:05.610000,0.0,44.4,19.5,47747308,4555445427
2024-11-29 21:19:06.616000,0.0,44.4,19.5,47747308,4555445491
2024-11-29 21:19:07.621000,0.0,44.4,19.5,47747308,4555445636
2024-11-29 21:19:08.626000,0.0,44.4,19.5,47747308,4555445761
2024-11-29 21:19:09.631000,0.0,44.4,19.5,47747308,4555445825
2024-11-29 21:19:10.637000,0.0,44.4,19.5,47747308,4555445906
2024-11-29 21:19:11.643000,0.0,44.4,19.5,47747308,4555445970
2024-11-29 21:19:12.649000,0.0,44.4,19.5,47747308,4555445970
2024-11-29 21:19:13.654000,0.0,44.4,19.5,47747308,4555446326
2024-11-29 21:19:14.659000,0.0,44.4,19.5,47747308,4555446326
2024-11-29 21:19:15.665000,0.0,44.4,19.5,47747308,4555446390
2024-11-29 21:19:16.671000,0.0,44.4,19.5,47747308,4555446471
