2024-11-29 18:53:09,448 - INFO - CPU Usage: 53.8% | Memory Usage: 34.3% | Disk Usage: 18.9% | Bytes Sent: 1219806 | Bytes Received: 8936541
2024-11-29 18:53:10,457 - INFO - CPU Usage: 51.1% | Memory Usage: 37.1% | Disk Usage: 18.9% | Bytes Sent: 1219806 | Bytes Received: 8938199
2024-11-29 18:53:11,463 - INFO - CPU Usage: 51.6% | Memory Usage: 35.4% | Disk Usage: 18.9% | Bytes Sent: 1219806 | Bytes Received: 8939324
2024-11-29 18:53:12,516 - INFO - CPU Usage: 55.5% | Memory Usage: 32.8% | Disk Usage: 19.0% | Bytes Sent: 1219860 | Bytes Received: 8942244
2024-11-29 18:53:13,520 - INFO - CPU Usage: 53.2% | Memory Usage: 28.2% | Disk Usage: 18.9% | Bytes Sent: 1219914 | Bytes Received: 8942464
2024-11-29 18:53:14,542 - INFO - CPU Usage: 7.0% | Memory Usage: 28.1% | Disk Usage: 18.9% | Bytes Sent: 1219914 | Bytes Received: 8942954
2024-11-29 18:53:15,544 - INFO - CPU Usage: 5.5% | Memory Usage: 28.1% | Disk Usage: 18.9% | Bytes Sent: 1219914 | Bytes Received: 8944456
2024-11-29 18:53:16,549 - INFO - CPU Usage: 0.0% | Memory Usage: 28.1% | Disk Usage: 18.9% | Bytes Sent: 1220022 | Bytes Received: 8945664
2024-11-29 18:53:17,555 - INFO - CPU Usage: 41.0% | Memory Usage: 28.2% | Disk Usage: 18.9% | Bytes Sent: 1220250 | Bytes Received: 8945873
2024-11-29 18:53:18,560 - INFO - CPU Usage: 17.8% | Memory Usage: 28.6% | Disk Usage: 18.9% | Bytes Sent: 1244930 | Bytes Received: 9460709
2024-11-29 18:53:19,573 - INFO - CPU Usage: 70.1% | Memory Usage: 29.9% | Disk Usage: 18.9% | Bytes Sent: 1270757 | Bytes Received: 10475187
2024-11-29 18:53:20,801 - INFO - CPU Usage: 83.2% | Memory Usage: 30.8% | Disk Usage: 18.9% | Bytes Sent: 1295030 | Bytes Received: 10966193
2024-11-29 18:53:21,813 - INFO - CPU Usage: 60.6% | Memory Usage: 31.6% | Disk Usage: 18.9% | Bytes Sent: 1346703 | Bytes Received: 12984836
2024-11-29 18:53:22,954 - INFO - CPU Usage: 70.5% | Memory Usage: 32.7% | Disk Usage: 18.9% | Bytes Sent: 1373827 | Bytes Received: 13536796
2024-11-29 18:53:23,958 - INFO - CPU Usage: 68.7% | Memory Usage: 31.2% | Disk Usage: 18.9% | Bytes Sent: 1432527 | Bytes Received: 14145440
2024-11-29 18:53:24,979 - INFO - CPU Usage: 89.2% | Memory Usage: 30.9% | Disk Usage: 18.9% | Bytes Sent: 1459751 | Bytes Received: 15079985
2024-11-29 18:53:26,113 - INFO - CPU Usage: 100.0% | Memory Usage: 31.5% | Disk Usage: 18.9% | Bytes Sent: 1491553 | Bytes Received: 15989534
2024-11-29 18:53:27,119 - INFO - CPU Usage: 88.6% | Memory Usage: 31.7% | Disk Usage: 18.9% | Bytes Sent: 1503114 | Bytes Received: 16818858
2024-11-29 18:53:28,124 - INFO - CPU Usage: 24.6% | Memory Usage: 31.8% | Disk Usage: 18.9% | Bytes Sent: 1503169 | Bytes Received: 16818992
2024-11-29 18:53:29,140 - INFO - CPU Usage: 33.8% | Memory Usage: 31.7% | Disk Usage: 18.9% | Bytes Sent: 1503485 | Bytes Received: 16820040
2024-11-29 18:53:30,146 - INFO - CPU Usage: 50.7% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1503485 | Bytes Received: 16820229
2024-11-29 18:53:31,152 - INFO - CPU Usage: 0.0% | Memory Usage: 31.8% | Disk Usage: 18.9% | Bytes Sent: 1503485 | Bytes Received: 16820229
2024-11-29 18:53:32,158 - INFO - CPU Usage: 0.0% | Memory Usage: 31.8% | Disk Usage: 18.9% | Bytes Sent: 1503485 | Bytes Received: 16820374
2024-11-29 18:53:33,163 - INFO - CPU Usage: 0.0% | Memory Usage: 31.8% | Disk Usage: 18.9% | Bytes Sent: 1503485 | Bytes Received: 16820374
2024-11-29 18:53:34,169 - INFO - CPU Usage: 0.0% | Memory Usage: 31.8% | Disk Usage: 18.9% | Bytes Sent: 1503539 | Bytes Received: 16820745
2024-11-29 18:53:35,175 - INFO - CPU Usage: 0.0% | Memory Usage: 31.8% | Disk Usage: 18.9% | Bytes Sent: 1503539 | Bytes Received: 16820951
2024-11-29 18:53:36,180 - INFO - CPU Usage: 1.5% | Memory Usage: 31.7% | Disk Usage: 18.9% | Bytes Sent: 1503539 | Bytes Received: 16821015
2024-11-29 18:53:37,186 - INFO - CPU Usage: 0.8% | Memory Usage: 31.7% | Disk Usage: 18.9% | Bytes Sent: 1503539 | Bytes Received: 16821015
2024-11-29 18:53:38,192 - INFO - CPU Usage: 0.0% | Memory Usage: 31.7% | Disk Usage: 18.9% | Bytes Sent: 1503539 | Bytes Received: 16821160
2024-11-29 18:53:39,198 - INFO - CPU Usage: 0.0% | Memory Usage: 31.7% | Disk Usage: 18.9% | Bytes Sent: 1503743 | Bytes Received: 16821683
2024-11-29 18:53:40,203 - INFO - CPU Usage: 0.0% | Memory Usage: 31.7% | Disk Usage: 18.9% | Bytes Sent: 1504013 | Bytes Received: 16822570
2024-11-29 18:53:41,209 - INFO - CPU Usage: 0.0% | Memory Usage: 31.7% | Disk Usage: 18.9% | Bytes Sent: 1504013 | Bytes Received: 16822715
2024-11-29 18:53:42,214 - INFO - CPU Usage: 0.0% | Memory Usage: 31.7% | Disk Usage: 18.9% | Bytes Sent: 1504391 | Bytes Received: 16823544
2024-11-29 18:53:43,220 - INFO - CPU Usage: 0.0% | Memory Usage: 31.7% | Disk Usage: 18.9% | Bytes Sent: 1504391 | Bytes Received: 16823544
2024-11-29 18:53:44,226 - INFO - CPU Usage: 0.0% | Memory Usage: 31.7% | Disk Usage: 18.9% | Bytes Sent: 1504445 | Bytes Received: 16823753
2024-11-29 18:53:45,231 - INFO - CPU Usage: 1.6% | Memory Usage: 31.7% | Disk Usage: 18.9% | Bytes Sent: 1504445 | Bytes Received: 16823953
2024-11-29 18:53:46,237 - INFO - CPU Usage: 2.3% | Memory Usage: 31.7% | Disk Usage: 18.9% | Bytes Sent: 1504445 | Bytes Received: 16824017
2024-11-29 18:53:47,247 - INFO - CPU Usage: 3.1% | Memory Usage: 31.7% | Disk Usage: 18.9% | Bytes Sent: 1504445 | Bytes Received: 16824312
2024-11-29 18:53:48,252 - INFO - CPU Usage: 0.0% | Memory Usage: 31.6% | Disk Usage: 18.9% | Bytes Sent: 1504445 | Bytes Received: 16824376
2024-11-29 18:53:49,258 - INFO - CPU Usage: 0.0% | Memory Usage: 31.6% | Disk Usage: 18.9% | Bytes Sent: 1504445 | Bytes Received: 16824376
2024-11-29 18:53:50,263 - INFO - CPU Usage: 0.0% | Memory Usage: 31.6% | Disk Usage: 18.9% | Bytes Sent: 1504553 | Bytes Received: 16824710
2024-11-29 18:53:51,269 - INFO - CPU Usage: 0.0% | Memory Usage: 31.6% | Disk Usage: 18.9% | Bytes Sent: 1504553 | Bytes Received: 16824710
2024-11-29 18:53:52,275 - INFO - CPU Usage: 0.0% | Memory Usage: 31.6% | Disk Usage: 18.9% | Bytes Sent: 1504553 | Bytes Received: 16824849
2024-11-29 18:53:53,280 - INFO - CPU Usage: 0.0% | Memory Usage: 31.6% | Disk Usage: 18.9% | Bytes Sent: 1504553 | Bytes Received: 16830310
2024-11-29 18:53:54,286 - INFO - CPU Usage: 0.0% | Memory Usage: 31.6% | Disk Usage: 18.9% | Bytes Sent: 1504553 | Bytes Received: 16835818
2024-11-29 18:53:55,292 - INFO - CPU Usage: 1.6% | Memory Usage: 31.6% | Disk Usage: 18.9% | Bytes Sent: 1504553 | Bytes Received: 16835943
2024-11-29 18:53:56,298 - INFO - CPU Usage: 46.6% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1504553 | Bytes Received: 16836088
2024-11-29 18:53:57,303 - INFO - CPU Usage: 48.1% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1504553 | Bytes Received: 16836088
2024-11-29 18:53:58,309 - INFO - CPU Usage: 47.7% | Memory Usage: 31.8% | Disk Usage: 18.9% | Bytes Sent: 1504553 | Bytes Received: 16836152
2024-11-29 18:53:59,314 - INFO - CPU Usage: 54.9% | Memory Usage: 32.0% | Disk Usage: 18.9% | Bytes Sent: 1504553 | Bytes Received: 16836233
2024-11-29 18:54:00,320 - INFO - CPU Usage: 58.9% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1504553 | Bytes Received: 16836422
2024-11-29 18:54:01,326 - INFO - CPU Usage: 45.4% | Memory Usage: 32.0% | Disk Usage: 18.9% | Bytes Sent: 1504553 | Bytes Received: 16836422
2024-11-29 18:54:02,332 - INFO - CPU Usage: 49.6% | Memory Usage: 32.0% | Disk Usage: 18.9% | Bytes Sent: 1505233 | Bytes Received: 16837605
2024-11-29 18:54:03,337 - INFO - CPU Usage: 33.1% | Memory Usage: 32.3% | Disk Usage: 18.9% | Bytes Sent: 1505233 | Bytes Received: 16837605
2024-11-29 18:54:04,343 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1505233 | Bytes Received: 16837733
2024-11-29 18:54:05,349 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1505233 | Bytes Received: 16837939
2024-11-29 18:54:06,355 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1505950 | Bytes Received: 16838137
2024-11-29 18:54:07,360 - INFO - CPU Usage: 0.8% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1507203 | Bytes Received: 16845984
2024-11-29 18:54:08,366 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1507478 | Bytes Received: 16846479
2024-11-29 18:54:09,372 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1507697 | Bytes Received: 16846689
2024-11-29 18:54:10,378 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1507807 | Bytes Received: 16847018
2024-11-29 18:54:11,383 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1508081 | Bytes Received: 16847379
2024-11-29 18:54:12,389 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1508246 | Bytes Received: 16847653
2024-11-29 18:54:13,394 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1508301 | Bytes Received: 16847723
2024-11-29 18:54:14,400 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1508301 | Bytes Received: 16847868
2024-11-29 18:54:15,405 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1508301 | Bytes Received: 16849235
2024-11-29 18:54:16,410 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1508301 | Bytes Received: 16849299
2024-11-29 18:54:17,415 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1508301 | Bytes Received: 16849444
2024-11-29 18:54:18,421 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1508356 | Bytes Received: 16849572
2024-11-29 18:54:19,427 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1508356 | Bytes Received: 16849697
2024-11-29 18:54:20,433 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1508356 | Bytes Received: 16850028
2024-11-29 18:54:21,438 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1508356 | Bytes Received: 16850028
2024-11-29 18:54:22,445 - INFO - CPU Usage: 1.5% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1509849 | Bytes Received: 16857640
2024-11-29 18:54:23,458 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1509849 | Bytes Received: 16857721
2024-11-29 18:54:24,463 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1509903 | Bytes Received: 16857974
2024-11-29 18:54:25,469 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1509903 | Bytes Received: 16857974
2024-11-29 18:54:26,474 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1509903 | Bytes Received: 16858119
2024-11-29 18:54:27,480 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1509903 | Bytes Received: 16858119
2024-11-29 18:54:28,485 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1509957 | Bytes Received: 16858183
2024-11-29 18:54:29,491 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1509957 | Bytes Received: 16858389
2024-11-29 18:54:30,497 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1509957 | Bytes Received: 16858453
2024-11-29 18:54:31,502 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1509957 | Bytes Received: 16858453
2024-11-29 18:54:32,508 - INFO - CPU Usage: 0.0% | Memory Usage: 31.9% | Disk Usage: 18.9% | Bytes Sent: 1510011 | Bytes Received: 16858598
